"nit,na_item,geo\time","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"CLV_PCH_PRE,B1GQ,AT","1.5","-3.8","1.8","2.9","0.7","0.0","0.7","1.0","2.1","2.5","2.4","1.6",
"CLV_PCH_PRE,B1GQ,BA",":","-3.0","0.9","1.0","-0.8","2.4","1.1","3.1","3.1","3.2","3.1",":",
"CLV_PCH_PRE,B1GQ,BE","0.4","-2.0","2.9","1.7","0.7","0.5","1.6","2.0","1.5","1.9","1.5","1.4",
"CLV_PCH_PRE,B1GQ,BG","6.1","-3.4","0.6","2.4","0.4","0.3","1.9","4.0","3.8","3.5","3.1","3.4 p",
"CLV_PCH_PRE,B1GQ,CH","2.2","-2.2","3.0","1.7","1.0","1.9","2.4","1.3","1.7","1.8","2.8","0.9",
"CLV_PCH_PRE,B1GQ,CY","3.6","-2.0","2.0","0.4","-3.4","-6.6","-1.9","3.4","6.7","4.4","4.1p","3.2 p",
"CLV_PCH_PRE,B1GQ,CZ","2.7","-4.8","2.3","1.8","-0.8","-0.5","2.7","5.3","2.5","4.4","2.8","2.6",
"CLV_PCH_PRE,B1GQ,DE","1.0","-5.7","4.2","3.9","0.4","0.4","2.2","1.7","2.2","2.5","1.5","0.6",
"CLV_PCH_PRE,B1GQ,DK","-0.5","-4.9","1.9","1.3","0.2","0.9","1.6","2.3","3.2","2.0","2.4","2.4",
"CLV_PCH_PRE,B1GQ,EA","0.4","-4.4","2.1","1.7","-0.9","-0.3","1.4","2.1","1.9","2.5","1.9","1.2",
"CLV_PCH_PRE,B1GQ,EA19","0.4","-4.5","2.1","1.7","-0.9","-0.2","1.4","2.1","1.9","2.5","1.9","1.2",
"CLV_PCH_PRE,B1GQ,EE","-5.1","-14.4","2.7","7.4","3.1","1.3","3.0","1.8","2.6","5.7","4.8","4.3",
"CLV_PCH_PRE,B1GQ,EL","-0.3","-4.3","-5.5","-9.1p","-7.3p","-3.2p","0.7p","-0.4p","-0.2p","1.5p","1.9p","1.9 p",
"CLV_PCH_PRE,B1GQ,ES","0.9","-3.8","0.2","-0.8","-3.0","-1.4","1.4","3.8","3.0","2.9p","2.4p","2.0 p",
"CLV_PCH_PRE,B1GQ,EU27_2020","0.6","-4.3","2.2","1.8","-0.7","-0.1","1.6","2.3","2.1","2.7","2.1","1.5",
"CLV_PCH_PRE,B1GQ,EU28","0.5","-4.3","2.2","1.8","-0.4","0.3","1.7","2.3","2.0","2.6","2.0","1.5",
"CLV_PCH_PRE,B1GQ,FI","0.8","-8.1","3.2","2.5","-1.4","-0.9","-0.4","0.5","2.7","3.1","1.6","1.0",
"CLV_PCH_PRE,B1GQ,FR","0.3","-2.9","1.9","2.2","0.3","0.6","1.0","1.1","1.1","2.3p","1.7p","1.3 p",
"CLV_PCH_PRE,B1GQ,HR","1.8","-7.4","-1.5","-0.3","-2.2","-0.5","-0.1","2.4","3.5","3.1","2.7p","2.9 p",
"CLV_PCH_PRE,B1GQ,HU","1.1","-6.7","0.7","1.8","-1.5","2.0","4.2","3.8","2.2","4.3","5.1","4.9 p",
"CLV_PCH_PRE,B1GQ,IE","-4.5","-5.1","1.8","0.3","0.2","1.4","8.6","25.2","3.7","8.1","8.2","5.5",
"CLV_PCH_PRE,B1GQ,IS","2.0","-6.8","-3.4","1.9","1.3","4.1","2.1","4.7","6.6","4.5","3.8","1.9",
"CLV_PCH_PRE,B1GQ,IT","-1.0","-5.3","1.7","0.7","-3.0","-1.",